PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN,Old Code
57,69,1708,1-2-27-345,345,තිහාරිය නැගෙනහිර,திஹாரிய,Thihariya East,318
57,70,1709,1-2-27-350,350,කලෝටුවාව,கலோடுவாவ,Kalotuwawa,319
57,71,1710,1-2-27-355,355,කත්තොට,கத்தொட்ட,Kattota,317
57,72,1711,1-2-27-360,360,ඔර්චාර්ඩ්වත්ත දකුණ,ஓர்சாட்வத்தை தெற்கு,Orchardwatta South,348/J
57,73,1712,1-2-27-365,365,බෝගොඩ,‍போகொட,Bogoda,316
57,74,1713,1-2-27-370,370,මාතලාන බස්නාහිර,மாதலான மேற்கு,Mathalana West,352D
57,75,1714,1-2-27-375,375,වතුපිටිවල,வத்துபிடிவல,Wathupitiwala,350/A
57,76,1715,1-2-27-380,380,වල්පොල,வல்பொல,Walpola,350
57,77,1716,1-2-27-385,385,හග්ගල්ල,ஹக்கல்ல,Haggalla,354
57,78,1717,1-2-27-390,390,එල්ලක්කල,எல்லக்கல,Ellakkala,355
57,79,1718,1-2-27-395,395,ගොඩගම බටහිර,கொடகம மேற்கு,Godagama West,361/A
57,80,1719,1-2-27-400,400,ගොඩගම,கொடகம,Godagama,361
57,81,1720,1-2-27-405,405,වැලිකඩමුල්ල,வெலிக்கடமுல்ல,Welikadamulla,363
57,82,1721,1-2-27-410,410,කරස්නගල,கரஸ்னகல,Karasnagala,365
57,83,1722,1-2-27-415,415,අලවල,அலவள,Alawala,364
57,84,1723,1-2-27-420,420,ඇතාඋඩකන්ද,எத்தாஉடகந்த,Ethaudakanda,364/B
57,85,1724,1-2-27-425,425,අලවල දකුණ,அலவள தெற்கு,Alawala South,364/A
57,86,1725,1-2-27-430,430,නිකහැටිකන්ද,நிகஹெடிகந்த,Nikahetikanda,365/A
57,87,1726,1-2-27-435,435,කරස්නාගල දකුණ,கரசன்கல தெற்கு,Karasnagala South,365C
57,88,1727,1-2-27-440,440,පල්කුඹුර,பல்கும்புர,Palkumbura,363A
57,89,1728,1-2-27-445,445,පැල්පිට,பெல்பிட,Pelpita,362
57,90,1729,1-2-27-450,450,වලලියද්ද,வலலியத்த,Walaliyadda,353/B
57,91,1730,1-2-27-455,455,හග්ගල නැගෙනහිර,ஹக்கல கிழக்கு,Haggalla East,354/A
57,92,1731,1-2-27-460,460,දියකඩේ,தியக‍டே,Diyakade,353A
57,93,1732,1-2-27-465,465,වෙලගෙදර,வெலகெதர,Welagedara,353
57,94,1733,1-2-27-470,470,කඹුරාගල්ල,கம்புறாகல்ல,Kamburagalla,352A
57,95,1734,1-2-27-475,475,මාතලාන උතුර,மாதலான வடக்கு,Mathalana North,352F
57,96,1735,1-2-27-480,480,මාතලාන,மாதலான,Mathalana,352
57,97,1736,1-2-27-485,485,මීවල,மீவல,Meewala,315
57,98,1737,1-2-27-490,490,කිත්තම්මහර,கித்தம்மஹர,Kitttammahara,316A
57,99,1738,1-2-27-495,495,තිහාරිය දකුණ,திஹாரிய தெற்கு,Thihariya South,318/E
57,100,1739,1-2-27-500,500,පහළ තිහාරිය,பஹல திஹாரிய,Pahala Thihariya,318B
