PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN,Old Code
39,80,585,1-1-12-400,400,පාලගම,பாலகம,Palagama,599
39,81,586,1-1-12-405,405,වෙනිවැල්කොල,வெணிவெல்கொல,Weniwelkola,601
40,1,587,1-1-15-005,005,බොල්ලතාව,‍‍போல்தவ,Bollathawa,433
40,2,588,1-1-15-010,010,කනම්පැල්ල බටහිර,கணம்பெல்ல ‍மேற்கு,Kanampella West,425A
40,3,589,1-1-15-015,015,කනම්පැල්ල නැගෙනහිර,கணம்பெல்ல கிழக்கு,Kanampella East,425
40,4,590,1-1-15-020,020,මානකඩ,மாணகட,Manakada,429B
40,5,591,1-1-15-025,025,ඇස්වත්ත උතුර,எஸ்வத்த வடக்கு,Eswatta North,429
40,6,592,1-1-15-030,030,කිරිවන්දල උතුර,கிரிவந்தல வடக்கு,Kiriwandala North,431B
40,7,593,1-1-15-035,035,කුඩගම,குடாகம,Kudagama,432A
40,8,594,1-1-15-040,040,වෙරළුපිටිය,‍‍வேறலுபிட்டிய,Weralupitiya,432H
40,9,595,1-1-15-045,045,සීතාගම,சீதாகம,Seethagama,432F
40,10,596,1-1-15-050,050,අවිස්සාවේල්ල,அவிஸ்சாவெல்ல,Avissawella,432
40,11,597,1-1-15-055,055,උක්වත්ත,உக்வத்த,Ukwatta,432C
40,12,598,1-1-15-060,060,අග්‍රා පෙදෙස,ஆக்ர பிரதேசம்,Agra place,432G
40,13,599,1-1-15-065,065,ඇස්වත්ත දකුණ,எஸ்வத்த தெற்கு,Eswatta South,429C
40,14,600,1-1-15-070,070,ඉහළ කොස්ගම උතුර,இஹல கொஸ்கம வடக்கு,Ihala Kosgama North,428
40,15,601,1-1-15-075,075,තාවල්ගොඩ,தவல்கொட,Thawalgoda,426
40,16,602,1-1-15-080,080,මුරුතගම,முருத்தகம,Muruthagama,426A
40,17,603,1-1-15-085,085,අකරවිට,அகரவிட்ட,Akaravita,434
40,18,604,1-1-15-090,090,කහටපිටිය,கஹடபிட்டிய,Kahatapitiya,435
40,19,605,1-1-15-095,095,කළුඅග්ගල,களு அக்கல,Kalu Aggala,436
40,20,606,1-1-15-100,100,සාලාව,சாலாவ,Salawa,427A
40,21,607,1-1-15-105,105,පහළ කොස්ගම බටහිර,பஹல கொஸ்கம ‍மேற்கு,Pahala Kosagama West,427B
